priority,need,fit,name,corp_code,stock_code,listed,sector,industry,type,rev,cagr3,ebitda,ebitda_m,net_debt,nd_ebitda,debt_ratio,curr_ratio,cash,draw_3y,dep_ratio,nd_per_rev,gap_12m,gap_3y,gap_basis,fs_year,fs_source,fs_ocf,fs_capex,fs_dividend,fs_lease_repay,fs_fcf,fs_gross_debt,fs_borrowings_st,fs_d_net_debt_measured,fs_uses_direct,fs_residual,fs_residual_pct,fs_ebitda_source,angle_primary,angles_detail,min_cash_pct,min_cash_basis,runway_m,status,last_funding_date,last_funding_nm,drivers
87,71.2,100,한화컨버전스(주),00880266,,false,도소매,도매·상품중개,WC_BURN(운전자본형),1886.4,0.24,238.4,0.126,1163.1,4.9,3.387,0.7,86.2,1292.9,1.774,1.443,418,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 24% 인데 EBITDA마진 9.4%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.046,company_history,,UNLISTED_BLIND,,,"순부채/EBITDA 4.9x / 부채비율 339% (3년 208%p↑) / EBITDA마진 22%→13% / 3년 순부채 +1,293억 vs EBITDA합 729억 / 매출 1원 성장에 순부채 1.44원 / 유동비율 70% / 현금/매출 5%"
85.9,78,83.1,(주)화인인터내셔날,00364014,,false,도소매,도매·상품중개,WC_BURN(운전자본형),515.6,0.257,45.7,0.089,578.8,12.7,34.83,0.195,10.3,209.3,2.918,1.676,117,330,measured_cashbridge,2025,audit,-66.4,0.7,,,-67.1,589.1,497.4,50.5,-15.1,-0.8,0.0015,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 26% + 마진 유지 · capex/매출 0.1%,0.008,company_history,2,DISTRESS_EVENT,,,순부채/EBITDA 12.7x / 부채비율 3483% (3년 2869%p↑) / 3년 순부채 +209억 vs EBITDA합 72억 / 매출 1원 성장에 순부채 1.68원 / 유동비율 19% / 현금/매출 2% / 현금 2년 연속 감소 / 런웨이 2개월
85.3,88.5,61.8,제일폴리캠(주),00934725,,false,제조업,화학물질·화학제품,WC_BURN(운전자본형),562.8,0.135,23.4,0.042,421.9,18,8.834,0.29,9.8,354.2,14.514,1.809,37,92,measured_cashbridge,2025,audit,-1.9,5.5,,,-7.4,431.7,198.5,2.2,3.8,1.4,0.0025,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년) | 성장자금형(positive): 매출 CAGR 14% + 마진 유지 · capex/매출 1.0%,0.02,company_history,62,UNLISTED_BLIND,,,순부채/EBITDA 18.0x / 부채비율 883% (3년 489%p↑) / 3년 순부채 +354억 vs EBITDA합 24억 / 매출 1원 성장에 순부채 1.81원 / 유동비율 29% / 현금/매출 2% / 현금 2년 연속 감소 / 영업적자 3/3년
85.2,88,62.5,프레시플러스(주),00968023,,false,제조업,식료품 제조,DISTRESS(구조조정형),797.9,0.223,-28.6,-0.036,448.5,,2.064,0.336,24.8,382.4,2.559,1,128,380,measured_cashbridge,2025,audit,19.2,99.9,,,-84.4,473.2,470.4,102.2,67.5,53.9,0.0675,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 22% 인데 EBITDA마진 12.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요 | 이벤트(neutral): 분할·카브아웃 — 승계·증여·분쟁 여부는 주주 레벨 사건이라 재무로 안 보임. 대주주 연령·지분율 개별 확인 필요,0.03,company_history,,UNLISTED_BLIND,,,EBITDA 적자 -29억 / 부채비율 206% (3년 134%p↑) / EBITDA마진 9%→-4% / 3년 순부채 +382억 vs EBITDA합 149억 / 매출 1원 성장에 순부채 1.00원 / 유동비율 34% / 현금/매출 3% / 현금 2년 연속 감소
84.7,97.2,43.7,(주)아이언오토,01352511,,false,도소매,자동차·부품 판매,DISTRESS(구조조정형),637.6,0.09,-1.4,-0.002,355.6,,14.318,0.252,1.8,78.3,3,0.952,134,364,measured_cashbridge,2025,audit,-38.2,51,,,-89.2,357.4,327.4,110.8,72.6,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 9% 인데 EBITDA마진 8.0%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.013,company_history,1,UNLISTED_BLIND,,,EBITDA 적자 -1억 / 부채비율 1432% (3년 3546%p↑) / EBITDA마진 0%→-0% / 3년 순부채 +78억 vs EBITDA합 -22억 / 매출 1원 성장에 순부채 0.95원 / 유동비율 25% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 1개월
84.3,84.5,65,일진건설산업(주),01465408,,false,건설업,종합 건설,DISTRESS(구조조정형),2463.6,0.18,-74.2,-0.03,224.7,,19.701,0.942,0.1,220,178.861,0.228,91,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 18% 인데 EBITDA마진 5.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.025,company_history,0,DISTRESS_EVENT,,,EBITDA 적자 -74억 / 부채비율 1970% (3년 1870%p↑) / EBITDA마진 2%→-3% / 3년 순부채 +220억 vs EBITDA합 1억 / 유동비율 94% / 현금/매출 0% / 현금 2년 연속 감소 / 런웨이 0개월
84.1,89.7,55,이누스(주),01494561,,false,제조업,비금속 광물제품,DISTRESS(구조조정형),1571.6,0.211,-184.1,-0.117,1431.5,,1.628,0.792,54.8,1037.4,3,1.03,120,354,measured_cashbridge,2025,audit,12.6,9.7,,,2.9,1486.3,1236.3,-13.1,4.7,-5.3,0.0033,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년) | 성장자금형(negative): 매출 CAGR 21% 인데 EBITDA마진 16.9%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.035,company_history,,DISTRESS_EVENT,,,"EBITDA 적자 -184억 / EBITDA마진 1%→-12% / 3년 순부채 +1,037억 vs EBITDA합 -491억 / 매출 1원 성장에 순부채 1.03원 / 유동비율 79% / 현금/매출 3% / 현금 2년 연속 감소 / 영업적자 3/3년"
83.9,78.8,73.6,(주)스튜디오프리즘,01394261,,false,정보통신,영상·오디오 제작·배급,WC_BURN(운전자본형),1576.7,0.247,50.3,0.032,1448.7,28.8,3.499,0.248,201.3,1604.3,3.819,1.476,54,454,measured_cashbridge,2025,audit,-35,0,,,-35.1,1650,1650,33.3,-9.6,7.9,0.005,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 25% 인데 EBITDA마진 10.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.035,company_history,69,UNLISTED_BLIND,,,"순부채/EBITDA 28.8x / 부채비율 350% (3년 300%p↑) / EBITDA마진 14%→3% / 3년 순부채 +1,604억 vs EBITDA합 420억 / 매출 1원 성장에 순부채 1.48원 / 유동비율 25%"
83.7,97.8,38.6,(주)비콘아이앤씨,01310542,,false,제조업,전자부품·컴퓨터·통신장비,DISTRESS(구조조정형),602.9,0.055,-54.3,-0.09,113.8,,5.214,0.68,1.2,102.6,3,1.139,38,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 6% 인데 EBITDA마진 10.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,0,DISTRESS_EVENT,,,EBITDA 적자 -54억 / 부채비율 521% (3년 465%p↑) / EBITDA마진 1%→-9% / 3년 순부채 +103억 vs EBITDA합 -67억 / 매출 1원 성장에 순부채 1.14원 / 유동비율 68% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 0개월
83.5,67.5,92.5,화성광주고속도로(주),01205204,,false,건설업,종합 건설,WC_BURN(운전자본형),674,0.244,304.2,0.451,5792.3,19,20.242,0.52,240.6,803.5,0.715,1.344,0,0,measured_cashbridge,2025,audit,155.5,5,,,150.5,6032.9,176.8,-150.6,5.3,-0.4,0.0006,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 24% 인데 EBITDA마진 34.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.025,company_history,,UNLISTED_BLIND,,,"순부채/EBITDA 19.0x / 부채비율 2024% (3년 1287%p↑) / EBITDA마진 79%→45% / 3년 순부채 +803억 vs EBITDA합 1,124억 / 매출 1원 성장에 순부채 1.34원 / 유동비율 52% / 현금 2년 연속 감소"
83.4,93.7,45,(주)초록마을,00306463,,false,도소매,도매·상품중개,REFI(롤오버형),1787.9,-0.025,5,0.003,198.1,39.3,5.566,0.573,0.6,187.4,3.335,,66,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년),0.008,company_history,1,DISTRESS_EVENT,,,순부채/EBITDA 39.3x / 부채비율 557% (3년 437%p↑) / 3년 순부채 +187억 vs EBITDA합 56억 / 유동비율 57% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 3/3년 / 런웨이 1개월
83.4,90.9,50,에코에너지원(주),01378698,,false,제조업,목재·나무제품 제조,WC_BURN(운전자본형),441.6,0.381,5.3,0.012,490.3,93.1,4.377,0.177,0.1,304.3,3,1.11,119,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년) | 성장자금형(positive): 매출 CAGR 38% + 마진 유지,0.02,company_history,0,DISTRESS_EVENT,,,순부채/EBITDA 93.1x / 부채비율 438% (3년 299%p↑) / 3년 순부채 +304억 vs EBITDA합 -3억 / 매출 1원 성장에 순부채 1.11원 / 유동비율 18% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 3/3년 / 런웨이 0개월
83,80,68,핸즈식스(주),00951795,,false,제조업,자동차·트레일러,WC_BURN(운전자본형),2778.6,0.076,138.4,0.05,1289,9.3,2.877,0.912,2.4,855.9,1.614,1.729,0,0,measured_cashbridge,2025,audit,242.8,39.9,,,200.9,1291.4,1290.8,-186.7,35.7,20.4,0.0073,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 8% 인데 EBITDA마진 2.7%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,,DISTRESS_EVENT,,,순부채/EBITDA 9.3x / 부채비율 288% (3년 195%p↑) / EBITDA마진 9%→5% / 3년 순부채 +856억 vs EBITDA합 530억 / 매출 1원 성장에 순부채 1.73원 / 유동비율 91% / 현금/매출 0% / 현금 2년 연속 감소
82.7,86.9,54.4,(주)한결엘에스,00908863,,false,도소매,도매·상품중개,WC_BURN(운전자본형),2488.7,0.078,15.3,0.006,527.4,34.5,117.3,0.776,41.2,624.1,8.269,1.267,9,69,measured_cashbridge,2025,audit,5,0.8,,,4.2,568.6,432.9,-48.8,-1.2,7.5,0.003,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 8% + 마진 유지 · capex/매출 0.0%,0.008,company_history,,DISTRESS_EVENT,,,순부채/EBITDA 34.5x / 부채비율 11730% (3년 11621%p↑) / 3년 순부채 +624억 vs EBITDA합 75억 / 매출 1원 성장에 순부채 1.27원 / 유동비율 78% / 현금/매출 2% / 현금 2년 연속 감소
82.7,75.4,75.2,(주)거림씨앤에프,01728282,,false,제조업,의복·모피 제조,WC_BURN(운전자본형),644.6,0.209,40.1,0.062,342.2,8.5,2.747,1.295,6.7,319.8,2.579,0.822,32,68,measured_cashbridge,2025,audit,-6.1,4.1,1.3,,-10.2,348.9,68.9,22.4,16.6,-0.4,0.0006,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 21% 인데 EBITDA마진 4.9%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,13,UNLISTED_BLIND,,,순부채/EBITDA 8.5x / 부채비율 275% (3년 160%p↑) / EBITDA마진 11%→6% / 3년 순부채 +320억 vs EBITDA합 124억 / 매출 1원 성장에 순부채 0.82원 / 현금/매출 1% / 현금 2년 연속 감소 / 런웨이 13개월
82.5,71.2,81.8,갤럭시아코퍼레이션(주),00929705,,false,도소매,소매(자동차 제외),WC_BURN(운전자본형),884.7,0.271,74.6,0.084,575.7,7.7,12.887,1.242,5.9,541.1,3.639,1.191,193,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 27% + 마진 유지,0.008,company_history,,DISTRESS_EVENT,,,순부채/EBITDA 7.7x / 부채비율 1289% (3년 930%p↑) / 3년 순부채 +541억 vs EBITDA합 149억 / 매출 1원 성장에 순부채 1.19원 / 현금/매출 1%
82.2,76.4,71.4,(주)유진정공,00448848,,false,제조업,자동차·트레일러,WC_BURN(운전자본형),580.6,0.139,31.9,0.055,183.2,5.7,8.197,0.306,13.6,127.7,2.453,0.551,24,52,measured_cashbridge,2025,audit,27.2,27.2,,,0.1,196.9,192.7,-0.5,33,-6.2,0.0107,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(positive): 매출 CAGR 14% + 마진 유지 · capex/매출 4.7%,0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 5.7x / 부채비율 820% (3년 550%p↑) / 3년 순부채 +128억 vs EBITDA합 52억 / 매출 1원 성장에 순부채 0.55원 / 유동비율 31% / 현금/매출 2% / 현금 2년 연속 감소 / 영업적자 2/3년
82.2,82.8,59.8,(주)알테크노메탈,00534057,,false,제조업,1차 금속,DISTRESS(구조조정형),7518.1,0.02,626.5,0.083,3242.8,5.2,6.292,0.706,105,308,3,2.531,264,698,measured_cashbridge,2025,audit,166.4,187.6,3.3,,-21.2,3347.8,1962.3,-408.2,42.4,-284.1,0.0378,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년),0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 5.2x / 부채비율 629% (3년 521%p↑) / EBITDA마진 1%→8% / 3년 순부채 +308억 vs EBITDA합 -65억 / 매출 1원 성장에 순부채 2.53원 / 유동비율 71% / 현금/매출 1% / 영업적자 2/3년
82.1,97.8,32.5,(주)협화,00160533,,false,제조업,화학물질·화학제품,DISTRESS(구조조정형),624.9,-0.088,-89.4,-0.143,449.5,,11.889,0.779,8.5,100.9,2.452,1.824,48,123,measured_cashbridge,2025,audit,11.6,7.7,,,3.8,458,399.4,-4.5,6,1.1,0.0017,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년),0.02,company_history,,UNLISTED_BLIND,,,EBITDA 적자 -89억 / 부채비율 1189% (3년 720%p↑) / EBITDA마진 1%→-14% / 3년 순부채 +101억 vs EBITDA합 41억 / 매출 1원 성장에 순부채 1.82원 / 유동비율 78% / 현금/매출 1% / 현금 2년 연속 감소 / 영업적자 2/3년
82.1,61.8,97.2,영림산업(주),00816322,,false,제조업,목재·나무제품 제조,WC_BURN(운전자본형),1628.5,0.273,179.9,0.111,911.7,5.1,1.736,0.303,90,837.3,1.355,1.43,0,0,measured_cashbridge,2025,audit,235.5,64.7,,,170.8,1001.6,951.6,-172.3,57.1,6.1,0.0037,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 27% 인데 EBITDA마진 7.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 5.1x / EBITDA마진 23%→11% / 3년 순부채 +837억 vs EBITDA합 618억 / 매출 1원 성장에 순부채 1.43원 / 유동비율 30%
82,86.7,51.9,(주)대한종건,01377112,,false,건설업,종합 건설,DISTRESS(구조조정형),1756.5,0.061,-78.3,-0.045,131.5,,8.499,0.671,1,53.5,11.171,0.187,35,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 6% 인데 EBITDA마진 6.9%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.025,company_history,0,DISTRESS_EVENT,,,EBITDA 적자 -78억 / 부채비율 850% (3년 481%p↑) / EBITDA마진 2%→-4% / 3년 순부채 +54억 vs EBITDA합 5억 / 유동비율 67% / 현금/매출 0% / 현금 2년 연속 감소 / 런웨이 0개월
82,83.6,57.5,(주)로지스마일,01483389,,false,운수·물류,창고·운송관련 서비스,DISTRESS(구조조정형),617.7,0.348,-4.5,-0.007,67.7,,13.276,0.674,4.2,10,1.441,0.027,3,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 35% 인데 EBITDA마진 2.4%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요 | 이벤트(neutral): 분할·카브아웃 · 합병 — 승계·증여·분쟁 여부는 주주 레벨 사건이라 재무로 안 보임. 대주주 연령·지분율 개별 확인 필요,0.015,company_history,6,UNLISTED_BLIND,,,EBITDA 적자 -4억 / 부채비율 1328% (3년 1012%p↑) / EBITDA마진 2%→-1% / 3년 순부채 +10억 vs EBITDA합 7억 / 유동비율 67% / 현금/매출 1% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 6개월
81.9,79.3,64.9,(주)시앤유,01470932,,false,도소매,도매·상품중개,WC_BURN(운전자본형),503.9,0.102,25.9,0.052,330.8,12.8,8.243,0.86,36.5,211.7,1.726,0.881,55,192,measured_cashbridge,2025,audit,34.4,76.8,7,,-42.4,367.3,297.3,50.8,68.8,16.4,0.0325,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 10% 인데 EBITDA마진 2.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.008,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 12.8x / 부채비율 824% (3년 313%p↑) / EBITDA마진 7%→5% / 3년 순부채 +212억 vs EBITDA합 123억 / 매출 1원 성장에 순부채 0.88원 / 유동비율 86% / 현금 2년 연속 감소
81.9,66.2,88.6,에스케이멀티유틸리티(주),01603114,,false,전기·가스·환경,전기·가스·증기 공급,WC_BURN(운전자본형),2196,0.164,180.1,0.082,5540.4,30.8,3.498,1.919,1168.8,5582.7,12.692,4.832,0,926,measured_cashbridge,2025,audit,398,1140.9,,,-742.9,6709.2,132,369.2,1344.9,13.3,0.006,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 16% 인데 EBITDA마진 2.8%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.015,company_history,,IN_MOTION,2025-06-30,[기재정정]유상증자결정,"순부채/EBITDA 30.8x / 부채비율 350% (3년 266%p↑) / EBITDA마진 11%→8% / 3년 순부채 +5,583억 vs EBITDA합 440억 / 매출 1원 성장에 순부채 4.83원 / 영업적자 2/3년"
81.8,81.7,60,(주)신도디엑스,00919799,,false,도소매,도매·상품중개,DISTRESS(구조조정형),1009.8,0.171,-11,-0.011,60.3,,16.029,0.917,3.1,82.3,3,0.312,29,52,measured_cashbridge,2025,audit,-2,0.2,,,-6.8,63.4,61.1,-15.7,4.2,-1.8,0.0018,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(positive): 매출 CAGR 17% + 마진 유지 · capex/매출 0.0%,0.008,company_history,19,UNLISTED_BLIND,,,EBITDA 적자 -11억 / 부채비율 1603% (3년 1174%p↑) / 3년 순부채 +82억 vs EBITDA합 -8억 / 유동비율 92% / 현금/매출 0% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 19개월
81.8,77.3,68.1,(주)우리홀푸드마트,01374799,,false,도소매,소매(자동차 제외),WC_BURN(운전자본형),805.7,0.09,54.9,0.068,581.1,10.6,5.086,0.289,2.9,521.4,4.146,2.841,184,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 9% + 마진 유지,0.008,company_history,,DISTRESS_EVENT,,,순부채/EBITDA 10.6x / 부채비율 509% (3년 240%p↑) / 3년 순부채 +521억 vs EBITDA합 126억 / 매출 1원 성장에 순부채 2.84원 / 유동비율 29% / 현금/매출 0%
81.7,90.3,44.2,KC글라스(주),00139311,,false,제조업,비금속 광물제품,DISTRESS(구조조정형),349.6,0.077,-58.8,-0.168,341.2,,4.65,0.201,11.4,205.4,1.257,2.761,46,98,measured_cashbridge,2025,audit,29.2,22.5,0,,6.3,352.6,352.2,-13.2,16.4,-0.4,0.0011,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 8% 인데 EBITDA마진 8.4%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.085,company_history,,DISTRESS_EVENT,,,EBITDA 적자 -59억 / 부채비율 465% (3년 410%p↑) / EBITDA마진 21%→-17% / 3년 순부채 +205억 vs EBITDA합 163억 / 매출 1원 성장에 순부채 2.76원 / 유동비율 20% / 현금/매출 3%
81.7,78.3,65.7,장금마리타임(주),00767053,,false,운수·물류,수상 운송,WC_BURN(운전자본형),18822.4,0.356,764.7,0.041,13700.6,17.9,7.231,0.36,322.4,6464.8,1.063,0.52,2256,6848,measured_cashbridge,2025,audit,-621.9,15.5,,,-637.4,14023,13821,2125.7,-3224.3,4728.1,0.2512,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 36% 인데 EBITDA마진 17.1%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요 | 이벤트(neutral): 분할·카브아웃 — 승계·증여·분쟁 여부는 주주 레벨 사건이라 재무로 안 보임. 대주주 연령·지분율 개별 확인 필요,0.015,company_history,6,UNLISTED_BLIND,,,"순부채/EBITDA 17.9x / 부채비율 723% (3년 420%p↑) / EBITDA마진 21%→4% / 3년 순부채 +6,465억 vs EBITDA합 6,082억 / 매출 1원 성장에 순부채 0.52원 / 유동비율 36% / 현금/매출 2% / 런웨이 6개월"
81.7,83.3,56.9,백운지업(주),01742644,,false,도소매,도매·상품중개,DISTRESS(구조조정형),553.9,0.112,-20.7,-0.037,24.9,,37.153,1.015,3.6,101.3,4.369,0.155,20,26,measured_cashbridge,2025,audit,-1.6,0,,,-1.6,28.4,20.4,-41.7,-77.9,34.6,0.0624,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 11% 인데 EBITDA마진 5.2%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.008,company_history,27,UNLISTED_BLIND,,,EBITDA 적자 -21억 / 부채비율 3715% (3년 2659%p↑) / EBITDA마진 1%→-4% / 3년 순부채 +101억 vs EBITDA합 23억 / 유동비율 101% / 현금/매출 1% / 현금 2년 연속 감소
81.6,90.6,43.4,(주)동천수,01153770,,false,제조업,음료 제조,WC_BURN(운전자본형),395.9,0.071,4,0.01,592.4,147,2.014,0.198,4.5,547.9,7.976,7.411,195,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(negative): 매출 CAGR 7% 인데 EBITDA마진 10.9%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,2,UNLISTED_BLIND,,,순부채/EBITDA 147.0x / 부채비율 201% (3년 171%p↑) / EBITDA마진 12%→1% / 3년 순부채 +548억 vs EBITDA합 69억 / 매출 1원 성장에 순부채 7.41원 / 유동비율 20% / 현금/매출 1% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 2개월
81.5,92.3,40,씨알케이(주),01448997,,false,제조업,기타 기계·장비,DISTRESS(구조조정형),2260.4,-0.107,-52.3,-0.023,673.2,,85.362,0.669,10.4,392.7,2.924,,98,230,measured_cashbridge,2025,audit,32.5,12.5,,,5.8,683.6,677.5,-63.3,34.9,4.4,0.0019,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년),0.02,company_history,,UNLISTED_BLIND,,,EBITDA 적자 -52억 / 부채비율 8536% (3년 8035%p↑) / EBITDA마진 1%→-2% / 3년 순부채 +393억 vs EBITDA합 134억 / 유동비율 67% / 현금/매출 0% / 영업적자 2/3년
81.4,62.8,92.5,(주)무신사로지스틱스,01544149,,false,운수·물류,창고·운송관련 서비스,GROWTH(성장자금형),877.5,0.244,178.7,0.204,617.2,3.5,10.811,0.372,49.4,543.7,3.207,1.041,68,174,measured_cashbridge,2025,audit,146.8,69.8,,,-67.8,666.5,286.7,79,227,48.8,0.0556,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 3/3년) | 성장자금형(positive): 매출 CAGR 24% + 마진 유지 · capex/매출 8.0%,0.037,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 3.5x / 부채비율 1081% (3년 927%p↑) / 3년 순부채 +544억 vs EBITDA합 170억 / 매출 1원 성장에 순부채 1.04원 / 유동비율 37% / 영업적자 3/3년
81.2,87.3,47.8,(주)디에프에스,01634521,,false,제조업,의료·정밀·광학기기,DISTRESS(구조조정형),466.5,0.101,-67.6,-0.145,323.8,,7.337,0.438,26.3,265.3,1.887,0.854,70,223,measured_cashbridge,2025,audit,-17.4,25.1,,,-43.5,350,328.3,-17,15.8,-50.2,0.1077,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 10% 인데 EBITDA마진 25.0%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.02,company_history,18,UNLISTED_BLIND,,,EBITDA 적자 -68억 / 부채비율 734% (3년 563%p↑) / EBITDA마진 11%→-14% / 3년 순부채 +265억 vs EBITDA합 141억 / 매출 1원 성장에 순부채 0.85원 / 유동비율 44% / 런웨이 18개월
