priority,need,fit,name,corp_code,stock_code,listed,sector,industry,type,rev,cagr3,ebitda,ebitda_m,net_debt,nd_ebitda,debt_ratio,curr_ratio,cash,draw_3y,dep_ratio,nd_per_rev,gap_12m,gap_3y,gap_basis,fs_year,fs_source,fs_ocf,fs_capex,fs_dividend,fs_lease_repay,fs_fcf,fs_gross_debt,fs_borrowings_st,fs_d_net_debt_measured,fs_uses_direct,fs_residual,fs_residual_pct,fs_ebitda_source,angle_primary,angles_detail,min_cash_pct,min_cash_basis,runway_m,status,last_funding_date,last_funding_nm,drivers
73.1,67.6,50.9,(주)디알종합건설,01227330,,false,건설업,종합 건설,REFI(롤오버형),358.6,-0.048,38.1,0.106,705.3,18.5,4.224,0.779,1.3,218.4,2.01,,89,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 1/3년),0.025,company_history,3,DISTRESS_EVENT,,,순부채/EBITDA 18.5x / 부채비율 422% / 3년 순부채 +218억 vs EBITDA합 109억 / 유동비율 78% / 현금/매출 0% / 런웨이 3개월
73.1,69.4,47.5,롯데인프라셀,01854000,,false,제조업,1차 금속,DISTRESS(구조조정형),2507.2,,-247,-0.098,,,6.94,0.421,383.5,4646.9,3,2.798,73,787,measured_cashbridge,2025,audit,-185.3,165.5,,,-356.6,,,,328,,,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년),0.04,industry_band,25,UNLISTED_BLIND,,,"EBITDA 적자 -247억 / 부채비율 694% (3년 694%p↑) / 3년 순부채 +4,647억 vs EBITDA합 -257억 / 매출 1원 성장에 순부채 2.80원 / 유동비율 42% / 영업적자 2/3년"
73,49.9,82.3,(주)와마켓,01660340,,false,도소매,소매(자동차 제외),GROWTH(성장자금형),518.4,0.293,44.5,0.086,207.6,4.7,5.164,0.456,11.1,56.6,0.6,0.112,0,0,measured_cashbridge,2025,audit,37.3,0.8,,,36.5,218.7,33.7,-36.4,0.9,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(positive): 레버리지 부담은 크나 매출 회복 + 마진 반등 — 시황 저점 진입 가능성 | 성장자금형(positive): 매출 CAGR 29% + 마진 유지 · capex/매출 0.2%,0.011,company_history,,,,,순부채/EBITDA 4.7x / 부채비율 516% (3년 25280%p↑) / 3년 순부채 +57억 vs EBITDA합 94억 / 유동비율 46% / 현금/매출 2%
73,77.6,32.5,알파(주),00482028,,false,도소매,도매·상품중개,REFI(롤오버형),849,-0.052,3.8,0.004,145.2,38.2,1.851,0.781,5.3,74.9,1.277,,80,210,measured_cashbridge,2025,audit,-24.9,28,,,-52.9,150.5,150.5,41.4,16.5,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년),0.008,company_history,3,UNLISTED_BLIND,,,순부채/EBITDA 38.2x / 3년 순부채 +75억 vs EBITDA합 59억 / 유동비율 78% / 현금/매출 1% / 현금 2년 연속 감소 / 영업적자 2/3년 / 런웨이 3개월
73,55.1,72.9,(주)신신사,00636744,,false,제조업,전기장비,TIGHT(유동성형),2331.2,0.181,69.1,0.03,138.5,2,6.829,0.704,62.2,424,1.001,0.641,32,119,measured_cashbridge,2025,audit,25.1,58.1,,,-49.7,200.7,,-8.2,136.1,-119.1,0.0511,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(positive): 매출 CAGR 18% + 마진 유지 · capex/매출 2.5%,0.02,company_history,,UNLISTED_BLIND,,,부채비율 683% (3년 555%p↑) / 3년 순부채 +424억 vs EBITDA합 424억 / 매출 1원 성장에 순부채 0.64원 / 유동비율 70% / 현금/매출 3%
73,72.5,41.6,인팩이피엠(주),00970851,,false,제조업,자동차·트레일러,REFI(롤오버형),2112.1,-0.061,53.6,0.025,649.1,12.1,3.164,0.541,4.7,322,10.634,1.064,178,459,measured_cashbridge,2025,audit,-55.7,29.5,5,,-85.2,653.7,502.6,76.3,20.6,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 1/3년),0.02,company_history,1,UNLISTED_BLIND,,,순부채/EBITDA 12.1x / 부채비율 316% / 3년 순부채 +322억 vs EBITDA합 30억 / 매출 1원 성장에 순부채 1.06원 / 유동비율 54% / 현금/매출 0% / 런웨이 1개월
73,64.8,55.3,(주)로지스퀘어,01232013,,false,운수·물류,육상운송·파이프라인,REFI(롤오버형),1341,0.05,2.1,0.002,176.8,84.2,3.915,0.556,20.7,24.7,0.55,0.4,86,258,measured_cashbridge,2025,audit,-43.1,22.3,,,-65.4,197.5,174.4,84.4,41.3,0,0,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(positive): 매출 CAGR 5% + 마진 유지 · capex/매출 1.7%,0.015,company_history,6,,,,순부채/EBITDA 84.2x / 부채비율 392% / 3년 순부채 +25억 vs EBITDA합 45억 / 유동비율 56% / 현금/매출 2% / 런웨이 6개월
73,87.7,14,(주)푸디버스,01449969,,false,도소매,도매·상품중개,DISTRESS(구조조정형),328.6,-0.27,-6.7,-0.02,54.8,,43.246,1.018,1.4,40.2,3,,3,,netdebt_inferred,,,,,,,,,,,,,,,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년),0.008,company_history,2,UNLISTED_BLIND,,,EBITDA 적자 -7억 / 부채비율 4325% (3년 4227%p↑) / EBITDA마진 2%→-2% / 3년 순부채 +40억 vs EBITDA합 -28억 / 유동비율 102% / 현금/매출 0% / 영업적자 2/3년 / 런웨이 2개월
72.9,48.2,85,(주)데일리비어,01658169,,false,도소매,도매·상품중개,WC_BURN(운전자본형),339.5,0.185,61.2,0.18,210,3.4,1.568,0.923,75.7,376.6,1.888,1.833,0,0,measured_cashbridge,2025,audit,70.7,13.9,,,27.9,285.7,34.4,-45.7,35.4,-10.3,0.0305,op+dep,부실·리파이낸싱,부실·리파이낸싱(neutral): 레버리지·유동성 부담 — 구조적/일시적 판단 보류 | 성장자금형(negative): 매출 CAGR 19% 인데 EBITDA마진 6.3%p 훼손 — 기존사업 하락을 외형성장으로 마스킹하는지 확인 필요,0.062,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 3.4x / EBITDA마진 24%→18% / 3년 순부채 +377억 vs EBITDA합 199억 / 매출 1원 성장에 순부채 1.83원 / 유동비율 92%
72.9,63.7,57.1,(주)동서기공,01213373,,false,제조업,기타 운송장비,REFI(롤오버형),307.7,0.059,27.1,0.088,206.7,7.6,1.386,0.391,21.8,565.3,2.848,0.866,27,82,measured_cashbridge,2025,audit,22.7,31,,,-8.3,228.6,209.1,2.5,27,-1.8,0.0058,op+dep,부실·리파이낸싱,부실·리파이낸싱(negative): 구조적 악화 (영업적자 2/3년) | 성장자금형(positive): 매출 CAGR 6% + 마진 유지 · capex/매출 10.1%,0.02,company_history,,UNLISTED_BLIND,,,순부채/EBITDA 7.6x / 3년 순부채 +565억 vs EBITDA합 198억 / 매출 1원 성장에 순부채 0.87원 / 유동비율 39% / 현금 2년 연속 감소 / 영업적자 2/3년
